Model Year,Division,Carline,Eng Displ CC,Displacement in CC,# Cyl,Transmission,City FE Combined,Highway FE Combined,City and Highway Mileage,Aspiration,Trans,Trans Desc,# Gears,Lockup Torque Converter,Drive Sys,Drive Desc,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel Cost,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),5 Year Fuel Costs Excess,City CO2,Hwy CO2,Comb CO2 Rounded 
2018,Aston Martin Lagonda Ltd,DB11 V12,5.2,5200,12,Auto(S8),15,21,17,Turbocharged,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),2450,2450,,2,2,2,Minicompact Cars,car,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,9/7/2017,23856,,N,N,,,N,N,DB11 Base engine spec,Y,Banked deactivation,Y,Inlet and Exhaust Cam Phasing,N,,MFI,Multipoint/sequential fuel injection,N,,N,0W20,N,No,DB11 V12,5500,579,397,497
2018,Aston Martin Lagonda Ltd,DB11 V8,4,4000,8,Auto(S8),18,24,20,Turbocharged,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),2100,2100,,2,2,2,Minicompact Cars,car,Derived Vehicle Specific 5-cycle Calculation Approach for city label but Modified 5-cycle Calculation Approach for Highway label,9/7/2017,23857,,N,N,,,N,N,DB11 V8 Base engine spec,N,,Y,Inlet and Exhaust Cam Phasing,N,,MFI,Multipoint/sequential fuel injection,N,,N,5W40,N,No,DB11 V8,3750,486,365,431
2018,Aston Martin Lagonda Ltd,"Vanquish, S and Zagato",6,6000,12,Auto(S8),13,21,16,Naturally Aspirated,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),2600,2600,,2,2,2,Minicompact Cars,car,Derived 5-cycle label,4/10/2017,22886,,N,N,,,N,N,V12 Bosch 580HP engine config - Vanquish S & Zagato,N,,Y,Inlet and exhaust cam phasing,N,,MFI,Multipoint/sequential fuel injection,N,,N,0W40,N,No,Vanquish,6250,659,428,555
2018,Aston Martin Lagonda Ltd,Rapide S,6,6000,12,Auto(S8),14,21,17,Naturally Aspirated,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",,GP,Gasoline (Premium Unleaded Recommended),2450,2450,,2,2,3,Subcompact Cars,car,Derived 5-cycle label,4/10/2017,22787,,N,N,,,N,N,V12 Bosch 552hp engine config - Rapide S standard,N,,Y,Inlet and Exhaust Cam Phasing,N,,MFI,Multipoint/sequential fuel injection,N,,N,0W40,N,No,Rapide S,5500,631,413,533
2018,Mini,COOPER CLUBMAN,1.5,1500,3,Auto(S6),24,32,27,Turbocharged,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,GP,Gasoline (Premium Unleaded Recommended),1550,1550,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,7/31/2017,22323,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,GDI,Spark Ignition Direct Injection,,,N,0W20,N,No,,1000,363,274,323
2018,Mini,COOPER CLUBMAN,1.5,1500,3,Manual(M6),24,34,28,Turbocharged,M,Manual,6,N,F,"2-Wheel Drive, Front",,GP,Gasoline (Premium Unleaded Recommended),1500,1500,SIDI; ,2,2,5,Midsize Cars,car,Derived 5-cycle label,7/31/2017,22325,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,750,363,264,319
2018,Mini,COOPER HARDTOP 2 DOOR,1.5,1500,3,Auto(S6),27,35,30,Turbocharged,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,GP,Gasoline (Premium Unleaded Recommended),1400,1400,SIDI; ,2,2,3,Subcompact Cars,car,Derived 5-cycle label,7/20/2017,25432,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,250,331,250,294
2018,Mini,COOPER HARDTOP 2 DOOR,1.5,1500,3,Manual(M6),28,38,32,Turbocharged,M,Manual,6,N,F,"2-Wheel Drive, Front",,GP,Gasoline (Premium Unleaded Recommended),1300,1300,SIDI; ,2,2,3,Subcompact Cars,car,Derived 5-cycle label,7/31/2017,25433,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,,321,234,282
2018,Mini,COOPER HARDTOP 4 DOOR,1.5,1500,3,Auto(S6),27,35,30,Turbocharged,SA,Semi-Automatic,6,Y,F,"2-Wheel Drive, Front",,GP,Gasoline (Premium Unleaded Recommended),1400,1400,SIDI; ,2,2,3,Subcompact Cars,car,Derived 5-cycle label,7/20/2017,25434,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,250,331,250,294
2018,Mini,COOPER HARDTOP 4 DOOR,1.5,1500,3,Manual(M6),28,37,32,Turbocharged,M,Manual,6,N,F,"2-Wheel Drive, Front",,GP,Gasoline (Premium Unleaded Recommended),1300,1300,SIDI; ,2,2,3,Subcompact Cars,car,Derived 5-cycle label,7/31/2017,25435,,N,N,,,N,N,,N,,Y,variable valve timing at inlet and outlet valves,Y,variable valve lift only at inlet valves,GDI,Spark Ignition Direct Injection,,,N,0W20,Y,Yes,,,316,236,280
