Year	Florida Landfalls by Year
1897	0
1898	1
1899	1
1900	0
1901	0
1902	0
1903	1
1904	1
1905	0
1906	1
1907	0
1908	0
1909	1
1910	1
1911	1
1912	1
1913	0
1914	0
1915	2
1916	1
1917	1
1918	1
1919	1
1920	0
1921	1
1922	0
1923	0
1924	2
1925	0
1926	1
1927	0
1928	2
1929	1
1930	0
1931	0
1932	1
1933	2
1934	0
1935	2
1936	1
1937	0
1938	0
1939	1
1940	0
1941	1
1942	0
1943	0
1944	1
1945	2
1946	1
1947	2
1948	2
1949	1
1950	3
1951	0
1952	0
1953	2
1954	0
1955	0
1956	1
1957	0
1958	0
1959	0
1960	1
1961	0
1962	0
1963	0
1964	3
1965	1
1966	2
1967	0
1968	1
1969	0
1970	0
1971	0
1972	1
1973	0
1974	0
1975	1
1976	0
1977	0
1978	0
1979	1
1980	0
1981	0
1982	0
1983	0
1984	0
1985	1
1986	0
1987	1
1988	0
1989	0
1990	0
1991	0
1992	1
1993	0
1994	0
1995	2
1996	0
1997	0
1998	2
1999	0
2000	0
2001	0
2002	0
2003	0
2004	4
2005	2
2006	0
2007	0
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	0
2016	2
2017	1
2018	1
